From	Entry	Entry Name	Protein names	Gene Names	Organism	Reviewed
AT4G00020	Q7Y1C5	BRC2A_ARATH	Protein BREAST CANCER SUSCEPTIBILITY 2 homolog A (AtBRCA2A)	BRCA2A BRCA5(IV) At4g00020/At4g00010 F6N15.14/F6N15.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G22880	Q39009	DMC1_ARATH	Meiotic recombination protein DMC1 homolog (AtDMC1)	DMC1 LIM15 At3g22880 F5N5.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G43010	Q8W2F3	PIF4_ARATH	Transcription factor PIF4 (Basic helix-loop-helix protein 9) (AtbHLH9) (bHLH 9) (Phytochrome-interacting factor 4) (Short under red-light 2) (Transcription factor EN 102) (bHLH transcription factor bHLH009)	PIF4 BHLH9 EN102 SRL2 At2g43010 MFL8.13	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G59060	Q84LH8	PIF5_ARATH	Transcription factor PIF5 (Basic helix-loop-helix protein 65) (AtbHLH65) (bHLH 65) (Phytochrome interacting factor-like 6) (Phytochrome-interacting factor 5) (Transcription factor EN 103) (bHLH transcription factor bHLH065)	PIF5 BHLH65 EN103 PIL6 At3g59060 F17J16.110	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G61380	Q9LKL2	APRR1_ARATH	Two-component response regulator-like APRR1 (ABI3-interacting protein 1) (Pseudo-response regulator 1) (Timing of CAB expression 1)	APRR1 AIP1 TOC1 At5g61380 MFB13.16	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G46790	Q8L500	APRR9_ARATH	Two-component response regulator-like APRR9 (Pseudo-response regulator 9)	APRR9 At2g46790 F19D11.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G18915	Q8W420	ADO2_ARATH	Adagio protein 2 (F-box only protein 2c) (FBX2c) (Flavin-binding kelch repeat F-box protein 1-like protein 1) (FKF1-like protein 1) (LOV kelch protein 2)	ADO2 FKL1 LKP2 At2g18915 F19F24.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G20140	Q9LNT9	ASK4_ARATH	SKP1-like protein 4 (AtSK4)	ASK4 At1g20140 T20H2.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G03170	O81057	ASK14_ARATH	SKP1-like protein 14 (AtSK14)	ASK14 At2g03170 T18E12.16	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G68050	Q9C9W9	ADO3_ARATH	Adagio protein 3 (F-box only protein 2a) (FBX2a) (Flavin-binding kelch repeat F-box protein 1)	ADO3 FKF1 At1g68050 T23K23.10	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G57360	Q94BT6	ADO1_ARATH	Adagio protein 1 (Clock-associated PAS protein ZTL) (F-box only protein 2b) (FBX2b) (Flavin-binding kelch repeat F-box protein 1-like protein 2) (FKF1-like protein 2) (LOV kelch protein 1) (Protein ZEITLUPE)	ADO1 FKL2 LKP1 ZTL At5g57360 MSF19.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G24470	Q6LA42	APRR5_ARATH	Two-component response regulator-like APRR5 (Pseudo-response regulator 5)	APRR5 At5g24470 T31K7.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G60100	Q9LVG4	APRR3_ARATH	Two-component response regulator-like APRR3 (Pseudo-response regulator 3)	APRR3 At5g60100 MGO3.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G22770	Q9SQI2	GIGAN_ARATH	Protein GIGANTEA	GI At1g22770 T22J18.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G48590	Q9SMP0	NFYC1_ARATH	Nuclear transcription factor Y subunit C-1 (AtNF-YC-1) (Transcriptional activator HAP5A)	NFYC1 HAP5A At3g48590 T8P19.100	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G56170	Q8LCG7	NFYC2_ARATH	Nuclear transcription factor Y subunit C-2 (AtNF-YC-2) (Transcriptional activator HAP5B)	NFYC2 HAP5B At1g56170 F14G9.21 T6H22.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G08970	Q8L4B2	NFYC9_ARATH	Nuclear transcription factor Y subunit C-9 (AtNF-YC-9) (Transcriptional activator HAP5C)	NFYC9 HAP5C At1g08970 F7G19.16	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G38880	Q9SLG0	NFYB1_ARATH	Nuclear transcription factor Y subunit B-1 (AtNF-YB-1) (AtNF-YB1) (Transcriptional activator HAP3A)	NFYB1 HAP3A At2g38880 T7F6.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G15840	Q39057	CONS_ARATH	Zinc finger protein CONSTANS	CO At5g15840 F14F8_220	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G28050	Q9C7E8	COL15_ARATH	Zinc finger protein CONSTANS-LIKE 15	COL15 At1g28050 F13K9.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G18790	P14713	PHYB_ARATH	Phytochrome B (Protein LONG HYPOCOTYL 3) (Protein OUT OF PHASE 1)	PHYB HY3 OOP1 At2g18790 MSF3.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G09530	O80536	PIF3_ARATH	Transcription factor PIF3 (Basic helix-loop-helix protein 8) (AtbHLH8) (bHLH 8) (Phytochrome-associated protein 3) (Phytochrome-interacting factor 3) (Transcription factor EN 100) (bHLH transcription factor bHLH008)	PIF3 BHLH8 EN100 PAP3 At1g09530 F14J9.19	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G46970	Q8L5W8	PIL1_ARATH	Transcription factor PIL1 (Basic helix-loop-helix protein 124) (AtbHLH124) (bHLH 124) (Phytochrome-interacting factor 3-like 1) (Transcription factor EN 110) (bHLH transcription factor bHLH124)	PIL1 BHLH124 EN110 At2g46970 F14M4.20	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G62090	Q8L5W7	PIF6_ARATH	Transcription factor PIF6 (Basic helix-loop-helix protein 132) (AtbHLH132) (bHLH 132) (Phytochrome interacting factor 3-like 2) (Phytochrome-interacting factor 6) (Transcription factor EN 111) (bHLH transcription factor bHLH132)	PIF6 BHLH132 EN111 PIL2 At3g62090 T17J13.50	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G20180	Q8GZM7	PIF1_ARATH	Transcription factor PIF1 (Basic helix-loop-helix protein 15) (AtbHLH15) (bHLH 15) (Phytochrome-interacting factor 1) (Protein PHYTOCHROME INTERACTING FACTOR 3-LIKE 5) (Transcription factor EN 101) (bHLH transcription factor bHLH015)	PIF1 BHLH15 EN101 PIL5 At2g20180 T2G17.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G03430	Q8L9T7	AHP5_ARATH	Histidine-containing phosphotransfer protein 5	AHP5 At1g03430 F21B7.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G04910	Q9CAV6	WNK1_ARATH	Serine/threonine-protein kinase WNK1 (AtWNK1) (EC 2.7.11.1) (Protein kinase with no lysine 1)	WNK1 At3g04910 T9J14.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G55520	P28148	TBP2_ARATH	TATA-box-binding protein 2 (TATA sequence-binding protein 2) (AtTBP2) (TBP-2) (TATA-binding factor 2) (TATA-box factor 2) (Transcription initiation factor TFIID TBP-2 subunit)	TBP2 At1g55520 T5A14.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G46830	P92973	CCA1_ARATH	Protein CCA1 (MYB-related transcription factor CCA1) (Protein CIRCADIAN CLOCK ASSOCIATED 1)	CCA1 At2g46830 F19D11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G01060	Q6R0H1	LHY_ARATH	Protein LHY (MYB-related transcription factor LHY) (Protein LATE ELONGATED HYPOCOTYL)	LHY At1g01060 T25K16.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G40330	Q96276	MYB23_ARATH	Transcription factor MYB23 (Myb-related protein 23) (AtMYB23)	MYB23 At5g40330 MPO12.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G27920	P27900	GL1_ARATH	Trichome differentiation protein GL1 (Myb-related protein 0) (AtMYB0) (Protein GLABRA 1) (Protein GLABROUS 1) (R2R3-MYB transcription factor GL1)	GL1 MYB0 At3g27920 K16N12.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G41315	Q9FN69	GL3_ARATH	Transcription factor GLABRA 3 (Basic helix-loop-helix protein 1) (AtMYC6) (AtbHLH1) (bHLH 1) (Protein SHAPESHIFTER) (Transcription factor EN 31) (bHLH transcription factor bHLH001)	GL3 BHLH1 EN31 MYC6 SST At5g41315 MYC6.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G24520	Q9XGN1	TTG1_ARATH	Protein TRANSPARENT TESTA GLABRA 1	TTG1 At5g24520 K18P6_4 T31K7.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G02570	Q94AH6	CUL1_ARATH	Cullin-1	CUL1 At4g02570 T10P11.26	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G02560	Q8L5Y6	CAND1_ARATH	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (AtCAND1) (Protein ENHANCER OF TIR1-1 AUXIN RESISTANCE 2) (Protein HEMIVENATA)	CAND1 ETA2 HVE At2g02560 T8K22.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G56280	Q39083	DI191_ARATH	Protein DEHYDRATION-INDUCED 19 (AtDi19-1)	DI19-1 DI19 At1g56280 F14G9.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G68520	Q8LG76	COL6_ARATH	Zinc finger protein CONSTANS-LIKE 6	COL6 At1g68520 T26J14.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G06950	Q8LPR9	TI110_ARATH	Protein TIC110, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 110) (AtTIC110)	TIC110 At1g06950 F10K1.33 F4H5.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G16640	Q9SLF3	TC132_ARATH	Translocase of chloroplast 132, chloroplastic (AtToc132) (EC 3.6.5.-) (132 kDa chloroplast outer envelope protein)	TOC132 At2g16640 T24I21.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G02280	O23680	TOC33_ARATH	Translocase of chloroplast 33, chloroplastic (AtToc33) (EC 3.6.5.-) (33 kDa chloroplast outer envelope protein) (Plastid protein import 1)	TOC33 PPI1 At1g02280 T7I23.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G20570	Q940X7	RBX1A_ARATH	RING-box protein 1a (At-Rbx1;1) (Protein RING of cullins 1) (RBX1-2) (RBX1a-At)	RBX1A ROC1 At5g20570 F7C8.160	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G23430	A2RVM0	TIC32_ARATH	Short-chain dehydrogenase TIC 32, chloroplastic (EC 1.1.1.-) (Translocon at the inner envelope membrane of chloroplasts 32) (AtTIC32)	TIC32 At4g23430 F16G20.130	Arabidopsis thaliana (Mouse-ear cress)	reviewed
