GENE_PRODUCT_DB	GENE_PRODUCT_ID	SYMBOL	QUALIFIER	GO_TERM	GO_NAME	ECO_ID	GO_EVIDENCE_CODE	REFERENCE	WITH_FROM	TAXON_ID	ASSIGNED_BY	ANNOTATION_EXTENSION	GO_ASPECT
UniProtKB	A0A0N4SUD2	Ubi-p63E	enables	GO:0031386	protein tag activity	ECO:0000318	IBA	PMID:21873635	CGD:CAL0000178202|CGD:CAL0000186339|CGD:CAL0000194097|FB:FBgn0032725|MGI:MGI:1855694|PANTHER:PTN000071508|PomBase:SPBC12D12.08c|SGD:S000002546|SGD:S000003962|SGD:S000004157|UniProtKB:P05161	7955	GO_Central		F
UniProtKB	A0A0N4SUD2	Ubi-p63E	involved_in	GO:0016567	protein ubiquitination	ECO:0000318	IBA	PMID:21873635	CGD:CAL0000178202|CGD:CAL0000186339|PANTHER:PTN000071508|SGD:S000001410|SGD:S000001802|SGD:S000003962	7955	GO_Central		P
UniProtKB	A0A0N4SUD2	Ubi-p63E	enables	GO:0031625	ubiquitin protein ligase binding	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000071508|UniProtKB:Q15843	7955	GO_Central		F
UniProtKB	A0A0N4SUD2	Ubi-p63E	involved_in	GO:0019941	modification-dependent protein catabolic process	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1855694|PANTHER:PTN000071508|UniProtKB:C0H4U7|WB:WBGene00006727	7955	GO_Central		P
UniProtKB	A0A0R4IGV4	jam2a	part_of	GO:0098636	protein complex involved in cell adhesion	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN002893769|UniProtKB:P57087	7955	GO_Central		C
UniProtKB	A0A0R4IGV4	jam2a	is_active_in	GO:0009986	cell surface	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1933820|PANTHER:PTN002893769|UniProtKB:P57087	7955	GO_Central		C
UniProtKB	A0A0R4IGV4	jam2a	is_active_in	GO:0070160	tight junction	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1933820|PANTHER:PTN002893769	7955	GO_Central		C
UniProtKB	A0A0R4IGV4	jam2a	involved_in	GO:0007159	leukocyte cell-cell adhesion	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1933820|PANTHER:PTN002893769|UniProtKB:P57087	7955	GO_Central		P
UniProtKB	A0A0R4IGV4	jam2a	part_of	GO:0098636	protein complex involved in cell adhesion	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P57087	7955	UniProt		C
UniProtKB	A0A0R4IGV4	jam2a	involved_in	GO:0098609	cell-cell adhesion	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9JI59	7955	UniProt		P
