"protein","relType","goTerm","goName","namespace","neverAnnotate"
"P00561","enables","GO:0004072","aspartate kinase activity","molecular_function","false"
"P00561","enables","GO:0046872","metal ion binding","molecular_function","false"
"P00561","enables","GO:0005524","ATP binding","molecular_function","false"
"P00561","acts_upstream_of_or_within","GO:0051289","protein homotetramerization","biological_process","false"
"P00561","enables","GO:0016301","kinase activity","molecular_function","false"
"P00561","enables","GO:0003824","catalytic activity","molecular_function","false"
"P00561","involved_in","GO:0009089","lysine biosynthetic process via diaminopimelate","biological_process","false"
"P00561","enables","GO:0042802","identical protein binding","molecular_function","false"
"P00561","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P00561","involved_in","GO:0009086","methionine biosynthetic process","biological_process","false"
"P00561","involved_in","GO:0008652","amino acid biosynthetic process","biological_process","false"
"P00561","involved_in","GO:0006520","amino acid metabolic process","biological_process","false"
"P00561","enables","GO:0070403","NAD+ binding","molecular_function","false"
"P00561","involved_in","GO:0009088","threonine biosynthetic process","biological_process","false"
"P00561","involved_in","GO:0009067","aspartate family amino acid biosynthetic process","biological_process","false"
"P00561","involved_in","GO:0009085","lysine biosynthetic process","biological_process","false"
"P00561","enables","GO:0004412","homoserine dehydrogenase activity","molecular_function","false"
"P00561","enables","GO:0016491","oxidoreductase activity","molecular_function","false"
"P00561","involved_in","GO:0009090","homoserine biosynthetic process","biological_process","false"
"P00561","enables","GO:0050661","NADP binding","molecular_function","false"
"P00561","enables","GO:0016740","transferase activity","molecular_function","false"
"P16256","involved_in","GO:0006814","sodium ion transport","biological_process","false"
"P16256","enables","GO:0015293","symporter activity","molecular_function","false"
"P16256","involved_in","GO:0055085","transmembrane transport","biological_process","false"
"P16256","located_in","GO:0016020","membrane","cellular_component","false"
"P16256","involved_in","GO:0046942","carboxylic acid transport","biological_process","false"
"P16256","located_in","GO:0005886","plasma membrane","cellular_component","false"
"P16256","involved_in","GO:0006811","monoatomic ion transport","biological_process","false"
"P16256","involved_in","GO:0015887","pantothenate transmembrane transport","biological_process","false"
"P16256","enables","GO:0022857","transmembrane transporter activity","molecular_function","false"
"P16256","involved_in","GO:0036376","sodium ion export across plasma membrane","biological_process","false"
"P16256","enables","GO:0015081","sodium ion transmembrane transporter activity","molecular_function","false"
"P16256","enables","GO:0015233","pantothenate transmembrane transporter activity","molecular_function","false"
"P0A850","involved_in","GO:0043335","protein unfolding","biological_process","false"
"P0A850","enables","GO:0016853","isomerase activity","molecular_function","false"
"P0A850","located_in","GO:0016020","membrane","cellular_component","false"
"P0A850","acts_upstream_of_or_within","GO:0009408","response to heat","biological_process","false"
"P0A850","involved_in","GO:0015031","protein transport","biological_process","false"
"P0A850","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0A850","involved_in","GO:1990169","stress response to copper ion","biological_process","false"
"P0A850","enables","GO:0005515","protein binding","molecular_function","false"
"P0A850","enables","GO:0044183","protein folding chaperone","molecular_function","false"
"P0A850","enables","GO:0043022","ribosome binding","molecular_function","false"
"P0A850","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A850","involved_in","GO:0006457","protein folding","biological_process","false"
"P0A850","enables","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","molecular_function","false"
"P0A850","involved_in","GO:0051083","'de novo' cotranslational protein folding","biological_process","false"
"P0A850","involved_in","GO:0051301","cell division","biological_process","false"
"P0A850","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0ACB0","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P0ACB0","part_of","GO:1990100","DnaB-DnaC complex","cellular_component","false"
"P0ACB0","enables","GO:0016887","ATP hydrolysis activity","molecular_function","false"
"P0ACB0","involved_in","GO:0006270","DNA replication initiation","biological_process","false"
"P0ACB0","part_of","GO:1990160","DnaB-DnaC-Rep-PriC complex","cellular_component","false"
"P0ACB0","involved_in","GO:0031297","replication fork processing","biological_process","false"
"P0ACB0","located_in","GO:0005829","cytosol","cellular_component","false"
"P0ACB0","enables","GO:0003678","DNA helicase activity","molecular_function","false"
"P0ACB0","enables","GO:0016853","isomerase activity","molecular_function","false"
"P0ACB0","part_of","GO:1990077","primosome complex","cellular_component","false"
"P0ACB0","involved_in","GO:0006260","DNA replication","biological_process","false"
"P0ACB0","enables","GO:0003677","DNA binding","molecular_function","false"
"P0ACB0","acts_upstream_of_or_within","GO:0010212","response to ionizing radiation","biological_process","false"
"P0ACB0","part_of","GO:0030894","replisome","cellular_component","false"
"P0ACB0","enables","GO:0043139","5'-3' DNA helicase activity","molecular_function","false"
"P0ACB0","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0ACB0","enables","GO:0004386","helicase activity","molecular_function","false"
"P0ACB0","part_of","GO:1990158","DnaB-DnaC-DnaT-PriA-PriB complex","cellular_component","false"
"P0ACB0","enables","GO:0005524","ATP binding","molecular_function","false"
"P0ACB0","enables","GO:0016787","hydrolase activity","molecular_function","false"
"P0ACB0","part_of","GO:1990156","DnaB-DnaG complex","cellular_component","false"
"P0ACB0","enables","GO:0005515","protein binding","molecular_function","false"
"P0ACB0","part_of","GO:1990159","DnaB-DnaC-DnaT-PriA-PriC complex","cellular_component","false"
"P0ACB0","involved_in","GO:0006269","DNA replication, synthesis of primer","biological_process","false"
"P0ACB0","part_of","GO:0033202","DNA helicase complex","cellular_component","false"
"P00562","enables","GO:0046872","metal ion binding","molecular_function","false"
"P00562","involved_in","GO:0009086","methionine biosynthetic process","biological_process","false"
"P00562","involved_in","GO:0009088","threonine biosynthetic process","biological_process","false"
"P00562","involved_in","GO:0008652","amino acid biosynthetic process","biological_process","false"
"P00562","involved_in","GO:0009067","aspartate family amino acid biosynthetic process","biological_process","false"
"P00562","enables","GO:0070403","NAD+ binding","molecular_function","false"
"P00562","enables","GO:0050661","NADP binding","molecular_function","false"
"P00562","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P00562","enables","GO:0005524","ATP binding","molecular_function","false"
"P00562","enables","GO:0016491","oxidoreductase activity","molecular_function","false"
"P00562","enables","GO:0004412","homoserine dehydrogenase activity","molecular_function","false"
"P00562","enables","GO:0016740","transferase activity","molecular_function","false"
"P00562","involved_in","GO:0006520","amino acid metabolic process","biological_process","false"
"P00562","located_in","GO:0005829","cytosol","cellular_component","false"
"P00562","enables","GO:0003824","catalytic activity","molecular_function","false"
"P00562","involved_in","GO:0009085","lysine biosynthetic process","biological_process","false"
"P00562","involved_in","GO:0009089","lysine biosynthetic process via diaminopimelate","biological_process","false"
"P00562","enables","GO:0016301","kinase activity","molecular_function","false"
"P00562","enables","GO:0004072","aspartate kinase activity","molecular_function","false"
"P00562","involved_in","GO:0009090","homoserine biosynthetic process","biological_process","false"
"P08660","enables","GO:0042803","protein homodimerization activity","molecular_function","false"
"P08660","involved_in","GO:0009085","lysine biosynthetic process","biological_process","false"
"P08660","enables","GO:0005524","ATP binding","molecular_function","false"
"P08660","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P08660","involved_in","GO:0009089","lysine biosynthetic process via diaminopimelate","biological_process","false"
"P08660","enables","GO:0004072","aspartate kinase activity","molecular_function","false"
"P08660","involved_in","GO:0009090","homoserine biosynthetic process","biological_process","false"
"P08660","located_in","GO:0005829","cytosol","cellular_component","false"
"P08660","enables","GO:0016301","kinase activity","molecular_function","false"
"P08660","enables","GO:0016740","transferase activity","molecular_function","false"
"P08660","involved_in","GO:0008652","amino acid biosynthetic process","biological_process","false"
"P08660","enables","GO:0003824","catalytic activity","molecular_function","false"
"P00934","enables","GO:0016829","lyase activity","molecular_function","false"
"P00934","involved_in","GO:0006520","amino acid metabolic process","biological_process","false"
"P00934","involved_in","GO:0008652","amino acid biosynthetic process","biological_process","false"
"P00934","involved_in","GO:0009088","threonine biosynthetic process","biological_process","false"
"P00934","enables","GO:0030170","pyridoxal phosphate binding","molecular_function","false"
"P00934","located_in","GO:0005829","cytosol","cellular_component","false"
"P00934","enables","GO:0004795","threonine synthase activity","molecular_function","false"
"P38104","enables","GO:0000287","magnesium ion binding","molecular_function","false"
"P38104","enables","GO:0016836","hydro-lyase activity","molecular_function","false"
"P38104","enables","GO:0008927","mannonate dehydratase activity","molecular_function","false"
"P38104","involved_in","GO:0009063","amino acid catabolic process","biological_process","false"
"P38104","involved_in","GO:0016052","carbohydrate catabolic process","biological_process","false"
"P0A8I3","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A8I3","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A8I3","enables","GO:0000217","DNA secondary structure binding","molecular_function","false"
"P0A8I3","involved_in","GO:0033194","response to hydroperoxide","biological_process","false"
"P0A8I3","enables","GO:0003677","DNA binding","molecular_function","false"
"P26266","located_in","GO:0016020","membrane","cellular_component","false"
"P26266","acts_upstream_of_or_within","GO:0015685","ferric-enterobactin import into cell","biological_process","false"
"P26266","enables","GO:0004713","protein tyrosine kinase activity","molecular_function","false"
"P26266","involved_in","GO:0006811","monoatomic ion transport","biological_process","false"
"P26266","located_in","GO:0005886","plasma membrane","cellular_component","false"
"P26266","involved_in","GO:0006826","iron ion transport","biological_process","false"
"P26266","enables","GO:0015620","ferric-enterobactin transmembrane transporter activity","molecular_function","false"
"P0A870","involved_in","GO:0006098","pentose-phosphate shunt","biological_process","false"
"P0A870","enables","GO:0016744","transketolase or transaldolase activity","molecular_function","false"
"P0A870","enables","GO:0004801","transaldolase activity","molecular_function","false"
"P0A870","involved_in","GO:0009052","pentose-phosphate shunt, non-oxidative branch","biological_process","false"
"P0A870","enables","GO:0016740","transferase activity","molecular_function","false"
"P0A870","located_in","GO:0016020","membrane","cellular_component","false"
"P0A870","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A870","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A870","involved_in","GO:0005975","carbohydrate metabolic process","biological_process","false"
"P16703","involved_in","GO:0008652","amino acid biosynthetic process","biological_process","false"
"P16703","acts_upstream_of_or_within","GO:0019345","cysteine biosynthetic process via S-sulfo-L-cysteine","biological_process","false"
"P16703","enables","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","molecular_function","false"
"P16703","enables","GO:0016829","lyase activity","molecular_function","false"
"P16703","acts_upstream_of_or_within","GO:0016226","iron-sulfur cluster assembly","biological_process","false"
"P16703","involved_in","GO:0006535","cysteine biosynthetic process from serine","biological_process","false"
"P16703","enables","GO:0016740","transferase activity","molecular_function","false"
"P16703","enables","GO:0030170","pyridoxal phosphate binding","molecular_function","false"
"P16703","enables","GO:0042803","protein homodimerization activity","molecular_function","false"
"P16703","acts_upstream_of_or_within","GO:0019450","L-cysteine catabolic process to pyruvate","biological_process","false"
"P16703","is_active_in","GO:0005737","cytoplasm","cellular_component","false"
"P16703","involved_in","GO:0019344","cysteine biosynthetic process","biological_process","false"
"P16703","enables","GO:0005515","protein binding","molecular_function","false"
"P16703","enables","GO:0004124","cysteine synthase activity","molecular_function","false"
"P16703","enables","GO:0080146","L-cysteine desulfhydrase activity","molecular_function","false"
"P0A867","involved_in","GO:0009052","pentose-phosphate shunt, non-oxidative branch","biological_process","false"
"P0A867","enables","GO:0004801","transaldolase activity","molecular_function","false"
"P0A867","involved_in","GO:0005975","carbohydrate metabolic process","biological_process","false"
"P0A867","enables","GO:0016740","transferase activity","molecular_function","false"
"P0A867","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A867","involved_in","GO:0006098","pentose-phosphate shunt","biological_process","false"
"P0A867","located_in","GO:0005829","cytosol","cellular_component","false"
"P0AA25","enables","GO:0015035","protein-disulfide reductase activity","molecular_function","false"
"P0AA25","enables","GO:0030337","DNA polymerase processivity factor activity","molecular_function","false"
"P0AA25","is_active_in","GO:0005737","cytoplasm","cellular_component","false"
"P0AA25","located_in","GO:0005829","cytosol","cellular_component","false"
"P0AA25","involved_in","GO:0045454","cell redox homeostasis","biological_process","false"
"P0AA25","enables","GO:0005515","protein binding","molecular_function","false"
"P33570","enables","GO:0016740","transferase activity","molecular_function","false"
"P33570","enables","GO:0046872","metal ion binding","molecular_function","false"
"P33570","enables","GO:0004802","transketolase activity","molecular_function","false"
"P33570","located_in","GO:0005829","cytosol","cellular_component","false"
"P33570","involved_in","GO:0009052","pentose-phosphate shunt, non-oxidative branch","biological_process","false"
"P33570","involved_in","GO:0006098","pentose-phosphate shunt","biological_process","false"
"P30126","enables","GO:0016829","lyase activity","molecular_function","false"
"P30126","enables","GO:0005515","protein binding","molecular_function","false"
"P30126","part_of","GO:0009316","3-isopropylmalate dehydratase complex","cellular_component","false"
"P30126","enables","GO:0003861","3-isopropylmalate dehydratase activity","molecular_function","false"
"P30126","involved_in","GO:0009098","L-leucine biosynthetic process","biological_process","false"
"P30126","involved_in","GO:0008652","amino acid biosynthetic process","biological_process","false"
"P30126","involved_in","GO:0009082","branched-chain amino acid biosynthetic process","biological_process","false"
"P30126","located_in","GO:0005829","cytosol","cellular_component","false"
"P36938","involved_in","GO:0006006","glucose metabolic process","biological_process","false"
"P36938","involved_in","GO:0005975","carbohydrate metabolic process","biological_process","false"
"P36938","enables","GO:0000287","magnesium ion binding","molecular_function","false"
"P36938","located_in","GO:0005829","cytosol","cellular_component","false"
"P36938","enables","GO:0005515","protein binding","molecular_function","false"
"P36938","enables","GO:0016868","intramolecular phosphotransferase activity","molecular_function","false"
"P36938","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P36938","enables","GO:0016853","isomerase activity","molecular_function","false"
"P36938","enables","GO:0046872","metal ion binding","molecular_function","false"
"P36938","enables","GO:0004614","phosphoglucomutase activity","molecular_function","false"
"P0AE08","involved_in","GO:0045454","cell redox homeostasis","biological_process","false"
"P0AE08","acts_upstream_of_or_within","GO:0033194","response to hydroperoxide","biological_process","false"
"P0AE08","enables","GO:0051920","peroxiredoxin activity","molecular_function","false"
"P0AE08","enables","GO:0016491","oxidoreductase activity","molecular_function","false"
"P0AE08","involved_in","GO:0042744","hydrogen peroxide catabolic process","biological_process","false"
"P0AE08","enables","GO:0008379","thioredoxin peroxidase activity","molecular_function","false"
"P0AE08","located_in","GO:0016020","membrane","cellular_component","false"
"P0AE08","acts_upstream_of_or_within","GO:0009970","cellular response to sulfate starvation","biological_process","false"
"P0AE08","enables","GO:0102039","NADH-dependent peroxiredoxin activity","molecular_function","false"
"P0AE08","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0AE08","involved_in","GO:0019290","siderophore biosynthetic process","biological_process","false"
"P0AE08","acts_upstream_of_or_within","GO:0033195","response to alkyl hydroperoxide","biological_process","false"
"P0AE08","enables","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","molecular_function","false"
"P0AE08","part_of","GO:0009321","alkyl hydroperoxide reductase complex","cellular_component","false"
"P0AE08","enables","GO:0004601","peroxidase activity","molecular_function","false"
"P0AE08","located_in","GO:0005829","cytosol","cellular_component","false"
"P0AE08","enables","GO:0032843","hydroperoxide reductase activity","molecular_function","false"
"P0AE08","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0AE08","involved_in","GO:0006979","response to oxidative stress","biological_process","false"
"P0AE08","enables","GO:0005515","protein binding","molecular_function","false"
"P0AE08","involved_in","GO:0098869","cellular oxidant detoxification","biological_process","false"
"P0AE08","enables","GO:0016209","antioxidant activity","molecular_function","false"
"P0A9B2","enables","GO:0005515","protein binding","molecular_function","false"
"P0A9B2","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P0A9B2","located_in","GO:0016020","membrane","cellular_component","false"
"P0A9B2","enables","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","molecular_function","false"
"P0A9B2","enables","GO:0050661","NADP binding","molecular_function","false"
"P0A9B2","enables","GO:0051287","NAD binding","molecular_function","false"
"P0A9B2","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A9B2","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0A9B2","involved_in","GO:0006006","glucose metabolic process","biological_process","false"
"P0A9B2","involved_in","GO:0072524","pyridine-containing compound metabolic process","biological_process","false"
"P0A9B2","enables","GO:0004365","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity","molecular_function","false"
"P0A9B2","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A9B2","involved_in","GO:0006096","glycolytic process","biological_process","false"
"P0A9B2","enables","GO:0016491","oxidoreductase activity","molecular_function","false"
"P27302","enables","GO:0030145","manganese ion binding","molecular_function","false"
"P27302","located_in","GO:0005829","cytosol","cellular_component","false"
"P27302","enables","GO:0046872","metal ion binding","molecular_function","false"
"P27302","involved_in","GO:0009052","pentose-phosphate shunt, non-oxidative branch","biological_process","false"
"P27302","enables","GO:0042803","protein homodimerization activity","molecular_function","false"
"P27302","enables","GO:0000287","magnesium ion binding","molecular_function","false"
"P27302","enables","GO:0030976","thiamine pyrophosphate binding","molecular_function","false"
"P27302","enables","GO:0016740","transferase activity","molecular_function","false"
"P27302","involved_in","GO:0006098","pentose-phosphate shunt","biological_process","false"
"P27302","enables","GO:0004802","transketolase activity","molecular_function","false"
"P0AF03","involved_in","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","biological_process","false"
"P0AF03","enables","GO:0016740","transferase activity","molecular_function","false"
"P0AF03","enables","GO:0061598","molybdopterin adenylyltransferase activity","molecular_function","false"
"P0AF03","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P0AF03","enables","GO:0005515","protein binding","molecular_function","false"
"P0AF03","enables","GO:0005524","ATP binding","molecular_function","false"
"P0AF03","involved_in","GO:0032324","molybdopterin cofactor biosynthetic process","biological_process","false"
"P0AF03","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0AF03","located_in","GO:0005829","cytosol","cellular_component","false"
"P0A703","involved_in","GO:0051604","protein maturation","biological_process","false"
"P0A703","enables","GO:0016530","metallochaperone activity","molecular_function","false"
"P0A703","enables","GO:0046872","metal ion binding","molecular_function","false"
"P0A703","enables","GO:0008270","zinc ion binding","molecular_function","false"
"P0A703","enables","GO:0016151","nickel cation binding","molecular_function","false"
"P0AES4","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0AES4","located_in","GO:0005694","chromosome","cellular_component","false"
"P0AES4","enables","GO:0005515","protein binding","molecular_function","false"
"P0AES4","enables","GO:0003677","DNA binding","molecular_function","false"
"P0AES4","involved_in","GO:0046677","response to antibiotic","biological_process","false"
"P0AES4","involved_in","GO:0006261","DNA-templated DNA replication","biological_process","false"
"P0AES4","enables","GO:0008094","ATP-dependent activity, acting on DNA","molecular_function","false"
"P0AES4","acts_upstream_of_or_within","GO:0009410","response to xenobiotic stimulus","biological_process","false"
"P0AES4","located_in","GO:0016020","membrane","cellular_component","false"
"P0AES4","enables","GO:0016853","isomerase activity","molecular_function","false"
"P0AES4","involved_in","GO:2000104","negative regulation of DNA-templated DNA replication","biological_process","false"
"P0AES4","involved_in","GO:0006259","DNA metabolic process","biological_process","false"
"P0AES4","enables","GO:0034335","DNA negative supercoiling activity","molecular_function","false"
"P0AES4","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P0AES4","involved_in","GO:0006265","DNA topological change","biological_process","false"
"P0AES4","part_of","GO:0009330","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex","cellular_component","false"
"P0AES4","involved_in","GO:0051276","chromosome organization","biological_process","false"
"P0AES4","acts_upstream_of_or_within","GO:0006351","DNA-templated transcription","biological_process","false"
"P0AES4","enables","GO:0003916","DNA topoisomerase activity","molecular_function","false"
"P0AES4","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0AES4","enables","GO:0005524","ATP binding","molecular_function","false"
"P0AES4","located_in","GO:0005829","cytosol","cellular_component","false"
"P0AES4","enables","GO:0003918","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity","molecular_function","false"
"P09152","enables","GO:0005515","protein binding","molecular_function","false"
"P09152","enables","GO:0160182","nitrate reductase (quinone) activity","molecular_function","false"
"P09152","enables","GO:0051539","4 iron, 4 sulfur cluster binding","molecular_function","false"
"P09152","part_of","GO:0009325","nitrate reductase complex","cellular_component","false"
"P09152","enables","GO:0043546","molybdopterin cofactor binding","molecular_function","false"
"P09152","enables","GO:0046872","metal ion binding","molecular_function","false"
"P09152","located_in","GO:0016020","membrane","cellular_component","false"
"P09152","part_of","GO:0044799","NarGHI complex","cellular_component","false"
"P09152","involved_in","GO:0042126","nitrate metabolic process","biological_process","false"
"P09152","enables","GO:0009055","electron transfer activity","molecular_function","false"
"P09152","enables","GO:0051536","iron-sulfur cluster binding","molecular_function","false"
"P09152","enables","GO:0016491","oxidoreductase activity","molecular_function","false"
"P09152","located_in","GO:0005886","plasma membrane","cellular_component","false"
"P09152","acts_upstream_of_or_within","GO:0009061","anaerobic respiration","biological_process","false"
"P09152","involved_in","GO:0019645","anaerobic electron transport chain","biological_process","false"
"P09152","enables","GO:0008940","nitrate reductase activity","molecular_function","false"
"P09152","involved_in","GO:0042128","nitrate assimilation","biological_process","false"
"P77247","located_in","GO:0005829","cytosol","cellular_component","false"
"P77247","enables","GO:0003824","catalytic activity","molecular_function","false"
"P77247","enables","GO:0016791","phosphatase activity","molecular_function","false"
"P77247","enables","GO:0050308","sugar-phosphatase activity","molecular_function","false"
"P77247","enables","GO:0003850","2-deoxyglucose-6-phosphatase activity","molecular_function","false"
"P77247","enables","GO:0050286","sorbitol-6-phosphatase activity","molecular_function","false"
"P77247","enables","GO:0016787","hydrolase activity","molecular_function","false"
"P77247","enables","GO:0004346","glucose-6-phosphatase activity","molecular_function","false"
"P77247","enables","GO:0000287","magnesium ion binding","molecular_function","false"
"P77247","enables","GO:0050084","mannitol-1-phosphatase activity","molecular_function","false"
"P77247","enables","GO:0046872","metal ion binding","molecular_function","false"
"P0AEZ9","located_in","GO:0005829","cytosol","cellular_component","false"
"P0AEZ9","involved_in","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","biological_process","false"
"P0AEZ9","enables","GO:0042802","identical protein binding","molecular_function","false"
"P0AEZ9","acts_upstream_of_or_within","GO:0034214","protein hexamerization","biological_process","false"
"P0AEZ9","enables","GO:0000166","nucleotide binding","molecular_function","false"
"P0AEZ9","enables","GO:0005525","GTP binding","molecular_function","false"
"P0A8A0","enables","GO:0003677","DNA binding","molecular_function","false"
"P0A8A0","acts_upstream_of_or_within","GO:0010212","response to ionizing radiation","biological_process","false"
"P0A8A0","located_in","GO:0005737","cytoplasm","cellular_component","false"
"P0A8A0","involved_in","GO:0006355","regulation of DNA-templated transcription","biological_process","false"
"P0A8A0","located_in","GO:0005829","cytosol","cellular_component","false"
"P32125","enables","GO:0042803","protein homodimerization activity","molecular_function","false"
"P32125","enables","GO:0005515","protein binding","molecular_function","false"
"P32125","enables","GO:0005525","GTP binding","molecular_function","false"
"P32125","involved_in","GO:0006777","Mo-molybdopterin cofactor biosynthetic process","biological_process","false"
