id	name	namespace	alt_id	def	comment	subset	synonym	xref	is_a	relationship	property_value
GO:0000075	cell cycle checkpoint signaling	biological_process	GO:0072407	A signaling process that controls cell cycle progression by monitoring the integrity of specific cell cycle events. A cell cycle checkpoint begins with detection of deficiencies or defects and ends with signal transduction. [GOC:mtg_cell_cycle]	This term should not be used in direct manual annotation as it should always be possible to minimally designate mitotic or meiotic checkpoint, and usually to additionally specify the checkpoint (i.e mitotic spindle assembly checkpoint, mitotic DNA damage checkpoint etc). Note also that the effector processes are not part of the checkpoint but are positively regulated by the checkpoint signaling and should not be annotated here.	gocheck_do_not_annotate	signal transduction involved in G2/M transition checkpoint EXACT []	Wikipedia:Cell_cycle_checkpoint	GO:0048523 ! negative regulation of cellular process	regulates GO:0022402 ! cell cycle process	term_tracker_item https://github.com/geneontology/go-ontology/issues/20935 xsd:anyURI
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process		Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity. [GOC:go_curators, GOC:pr]		gocheck_do_not_annotate	regulation of cyclin-dependent protein kinase activity BROAD []		GO:1904029 ! regulation of cyclin-dependent protein kinase activity		
GO:0000080	mitotic G1 phase	biological_process		The cell cycle 'gap' phase which is the interval between the completion of DNA segregation by mitosis and the beginning of DNA synthesis. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate	G1 phase of mitotic cell cycle EXACT []		GO:0051318 ! G1 phase	part_of GO:0051329 ! mitotic interphase	
GO:0000084	mitotic S phase	biological_process		The cell cycle phase, following G1, during which DNA synthesis takes place as part of a mitotic cell cycle. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate	S-phase of mitotic cell cycle EXACT []		GO:0051320 ! S phase	part_of GO:0051329 ! mitotic interphase	
GO:0000085	mitotic G2 phase	biological_process		The cell cycle 'gap' phase which is the interval between the completion of DNA synthesis and the beginning of DNA segregation by mitosis. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate	G2 phase of mitotic cell cycle EXACT []		GO:0051319 ! G2 phase	part_of GO:0051329 ! mitotic interphase	
GO:0000087	mitotic M phase	biological_process		A cell cycle phase during which nuclear division occurs, and which is comprises the phases: prophase, metaphase, anaphase and telophase and occurs as part of a mitotic cell cycle. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate	M-phase of mitotic cell cycle EXACT []		GO:0098763 ! mitotic cell cycle phase		
GO:0000088	mitotic prophase	biological_process		The cell cycle phase which is the first stage of M phase of mitosis and during which chromosomes condense and the two daughter centrioles and their asters migrate toward the poles of the cell. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate			GO:0051324 ! prophase	part_of GO:0000087 ! mitotic M phase	
GO:0000089	mitotic metaphase	biological_process		The cell cycle phase, following prophase, during which chromosomes become aligned on the equatorial plate of the cell as part of a mitotic cell cycle. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate			GO:0051323 ! metaphase	part_of GO:0000087 ! mitotic M phase	
GO:0000090	mitotic anaphase	biological_process		The cell cycle phase during which chromosomes separate and migrate towards the poles of the spindle the as part of a mitotic cell cycle. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate			GO:0051322 ! anaphase	part_of GO:0000087 ! mitotic M phase	
GO:0000091	mitotic anaphase A	biological_process		The cell cycle phase during which the kinetochore microtubules shorten as chromosomes move toward the spindle poles as part of mitosis. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate			GO:0000090 ! mitotic anaphase		
GO:0000092	mitotic anaphase B	biological_process		The cell cycle phase during which the polar microtubules elongate and the two poles of the spindle move farther apart as part of mitosis. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate			GO:0000090 ! mitotic anaphase		
GO:0000093	mitotic telophase	biological_process		The cell cycle phase which follows anaphase during M phase of mitosis and during which the chromosomes arrive at the poles of the cell and the division of the cytoplasm starts. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate			GO:0051326 ! telophase	part_of GO:0000087 ! mitotic M phase	
GO:0000236	mitotic prometaphase	biological_process		The cell cycle phase in higher eukaryotes which follows mitotic prophase and during which the nuclear envelope is disrupted and breaks into membrane vesicles, and the spindle microtubules enter the nuclear region. Kinetochores mature on each centromere and attach to some of the spindle microtubules. Kinetochore microtubules begin the process of aligning chromosomes in one plane halfway between the poles. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate			GO:0000087 ! mitotic M phase		term_tracker_item https://github.com/geneontology/go-ontology/issues/24374 xsd:anyURI
GO:0000237	leptotene	biological_process		The cell cycle phase which is the first stage of prophase I in meiosis, and during which the chromosomes first become visible. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate		Wikipedia:Meiosis#Leptotene	GO:0098764 ! meiosis I cell cycle phase	part_of GO:0007128 ! meiotic prophase I	
GO:0000238	zygotene	biological_process		The cell cycle phase which follows leptotene during prophase I of meiosis, and during which each chromosome pairs with its homolog; the two become aligned and crossing over may occur. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate		Wikipedia:Zygotene	GO:0098764 ! meiosis I cell cycle phase	part_of GO:0007128 ! meiotic prophase I	
GO:0000239	pachytene	biological_process		The cell cycle phase which follows zygotene during prophase I of meiosis, and during which crossing over occurs between a chromatid in one partner and another chromatid in the homologous chromosome. [GOC:mtg_cell_cycle]	Note that this term should not be used for direct annotation. If you are trying to make an annotation to x phase, it is likely that the correct annotation is 'regulation of x/y phase transition' or to a process which occurs during the reported phase (i.e mitotic DNA replication for mitotic S-phase). To capture the phase when a specific location or process is observed, the phase term can be used in an annotation extension (PMID:24885854) applied to a cellular component term (with the relation exists_during) or a biological process term (with the relation happens_during).	gocheck_do_not_annotate		Wikipedia:Pachytene	GO:0098764 ! meiosis I cell cycle phase	part_of GO:0007128 ! meiotic prophase I	
